分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 0, IPv6: 5, 最小延迟: 2339 ms, 最高速率: 0.14 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 0, IPv4: 0, IPv6: 7, 最小延迟: 1090 ms, 最高速率: 0.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 6, IPv4: 0, IPv6: 71, 最小延迟: 198 ms, 最高速率: 0.84 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 0, IPv6: 60, 最小延迟: 59 ms, 最高速率: 0.84 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 4, IPv4: 0, IPv6: 27, 最小延迟: 100 ms, 最高速率: 14.02 M/s, 平均速率: 3.99 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 0, IPv6: 85, 最小延迟: 198 ms, 最高速率: 0.84 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 6, IPv4: 0, IPv6: 58, 最小延迟: 765 ms, 最高速率: 0.84 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 0, IPv6: 72, 最小延迟: 199 ms, 最高速率: 0.83 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 云南卫视, 有效: 6, IPv4: 0, IPv6: 65, 最小延迟: 197 ms, 最高速率: 0.84 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广东珠江, 有效: 6, IPv4: 0, IPv6: 56, 最小延迟: 120 ms, 最高速率: 18.07 M/s, 平均速率: 2.95 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东新闻, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 525 ms, 最高速率: 0.32 M/s, 平均速率: 0.20 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东体育, 有效: 2, IPv4: 0, IPv6: 51, 最小延迟: 94 ms, 最高速率: 45.03 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东民生, 有效: 1, IPv4: 0, IPv6: 32, 最小延迟: 195 ms, 最高速率: 0.32 M/s, 平均速率: 0.25 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 6, IPv4: 0, IPv6: 15, 最小延迟: 73 ms, 最高速率: 6.34 M/s, 平均速率: 4.14 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广州综合, 有效: 3, IPv4: 0, IPv6: 4, 最小延迟: 527 ms, 最高速率: 0.26 M/s, 平均速率: 0.23 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 0, IPv6: 2, 最小延迟: 538 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州竞赛, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 520 ms, 最高速率: 0.73 M/s, 平均速率: 0.73 M/s, 最高分辨率: 1920x1080
